,HDO
0,2.5747709e-06
1,2.4107213000000002e-06
2,2.2836450000000002e-06
3,2.1584329000000003e-06
4,2.0353957e-06
5,1.913912e-06
6,1.7992637000000001e-06
7,1.6880331000000002e-06
8,1.5783560000000003e-06
9,1.4705431000000002e-06
10,1.3562055e-06
11,1.2403144e-06
12,1.1262875e-06
13,1.0144355e-06
14,9.22779e-07
15,8.382686e-07
16,7.553117000000001e-07
17,6.739083000000001e-07
18,6.074185000000001e-07
19,5.427929000000001e-07
20,4.797208e-07
21,4.228627e-07
22,3.8091820000000003e-07
23,3.399058e-07
24,2.9988764000000004e-07
25,2.6508924000000005e-07
26,2.33025e-07
27,2.0173751000000003e-07
28,1.7349488000000002e-07
29,1.541072e-07
30,1.3521664e-07
31,1.168232e-07
32,9.672091e-08
33,7.677397000000001e-08
34,5.738629e-08
35,4.4088330000000003e-08
36,3.529552e-08
37,2.6791661000000004e-08
38,2.0344636e-08
39,1.687101e-08
40,1.3503022e-08
41,1.0653903e-08
42,8.820773e-09
43,7.046676e-09
44,5.589493e-09
45,4.657393e-09
46,3.75947e-09
47,3.0346069e-09
48,2.4486267e-09
49,1.8850169e-09
50,1.7318418000000003e-09
51,1.6171935000000002e-09
52,1.4919814e-09
53,1.3521664e-09
54,1.2263329e-09
55,1.2120406999999999e-09
56,1.1983699e-09
57,1.193088e-09
58,1.1893596e-09
59,1.1912238000000001e-09
60,1.1952629e-09
61,1.202409e-09
62,1.2104872e-09
63,1.2226044999999999e-09
64,1.2353432e-09
65,1.2521210000000001e-09
66,1.2716951e-09
67,1.2977939000000001e-09
68,1.3198536e-09
69,1.3416026e-09
70,1.3686335000000001e-09
71,1.3866541000000002e-09
72,1.401257e-09
73,1.4149278000000001e-09
74,1.4298414000000001e-09
75,1.4469299e-09
76,1.4621542000000003e-09
77,1.4761357000000001e-09
78,1.4885637000000002e-09
79,1.5000596000000002e-09
80,1.5112448000000001e-09
81,1.5211872000000001e-09
82,1.5298868e-09
83,1.5376543000000003e-09
84,1.5519465e-09
85,1.5693457e-09
86,1.5957552e-09
87,1.6153293e-09
88,1.6271359000000002e-09
89,1.6280680000000001e-09
90,1.6147079000000003e-09
91,1.5929589000000001e-09
92,1.5426255e-09
93,1.4786213e-09
94,1.3484380000000001e-09
95,1.1819028e-09
96,9.846083e-10
97,7.360483e-10
