ALT,P1,P2,P3,P4,P5,P6,T1,T2,T3,T4,T5,T6,H2O_1,H2O_2,H2O_3,H2O_4,H2O_5,H2O_6,CO2_1,CO2_2,CO2_3,CO2_4,CO2_5,CO2_6,O3_1,O3_2,O3_3,O3_4,O3_5,O3_6,N2O_1,N2O_2,N2O_3,N2O_4,N2O_5,N2O_6,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CH4_1,CH4_2,CH4_3,CH4_4,CH4_5,CH4_6,O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,BRD_1,BRD_2,BRD_3,BRD_4,BRD_5,BRD_6,NO,SO2,NO2,NH3,HNO3,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN,CF4,C4H2,HC3N,H2,CS,SO3,BRO
 0.000E+00, 1.013E+03, 1.013E+03, 1.018E+03, 1.010E+03, 1.013E+03, 1.013E+03, 2.997E+02, 2.942E+02, 2.722E+02, 2.872E+02, 2.572E+02, 2.882E+02, 2.593E-02, 1.876E-02, 4.316E-03, 1.194E-02, 1.405E-03, 7.745E-03, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 2.869E-08, 3.017E-08, 2.778E-08, 2.412E-08, 1.802E-08, 2.660E-08, 3.200E-07, 3.200E-07, 3.200E-07, 3.100E-07, 3.200E-07, 3.200E-07, 1.500E-07, 1.500E-07, 1.500E-07, 1.500E-07, 1.500E-07, 1.500E-07, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.450E+13, 2.496E+13, 2.711E+13, 2.549E+13, 2.855E+13, 2.548E+13, 3.000E-10, 3.000E-10, 2.300E-11, 5.000E-10, 5.000E-11, 4.400E-14, 1.000E-14, 1.000E-09, 1.700E-12, 3.000E-12, 1.000E-14, 6.000E-10, 2.400E-09, 7.700E-12, 7.810E-01, 1.700E-10, 7.000E-10, 2.000E-10, 3.000E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 0.000E+00
 1.000E+00, 9.040E+02, 9.020E+02, 8.973E+02, 8.960E+02, 8.878E+02, 8.988E+02, 2.937E+02, 2.897E+02, 2.687E+02, 2.817E+02, 2.591E+02, 2.817E+02, 1.949E-02, 1.378E-02, 3.454E-03, 8.701E-03, 1.615E-03, 6.071E-03, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.150E-08, 3.337E-08, 2.800E-08, 2.940E-08, 2.072E-08, 2.931E-08, 3.200E-07, 3.200E-07, 3.200E-07, 3.100E-07, 3.200E-07, 3.200E-07, 1.450E-07, 1.450E-07, 1.450E-07, 1.450E-07, 1.450E-07, 1.450E-07, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.231E+13, 2.257E+13, 2.420E+13, 2.305E+13, 2.484E+13, 2.313E+13, 3.000E-10, 2.740E-10, 2.300E-11, 5.000E-10, 5.960E-11, 4.400E-14, 1.000E-14, 7.490E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.900E-10, 1.070E-09, 1.060E-11, 7.810E-01, 1.650E-10, 6.700E-10, 1.950E-10, 1.720E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 0.000E+00
 2.000E+00, 8.050E+02, 8.020E+02, 7.897E+02, 7.929E+02, 7.775E+02, 7.950E+02, 2.877E+02, 2.852E+02, 2.652E+02, 2.763E+02, 2.559E+02, 2.752E+02, 1.534E-02, 9.680E-03, 2.788E-03, 6.750E-03, 1.427E-03, 4.631E-03, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.342E-08, 3.694E-08, 2.849E-08, 3.379E-08, 2.336E-08, 3.237E-08, 3.200E-07, 3.200E-07, 3.200E-07, 3.100E-07, 3.200E-07, 3.200E-07, 1.399E-07, 1.399E-07, 1.399E-07, 1.399E-07, 1.399E-07, 1.399E-07, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.028E+13, 2.038E+13, 2.158E+13, 2.080E+13, 2.202E+13, 2.094E+13, 3.000E-10, 2.360E-10, 2.300E-11, 4.630E-10, 6.930E-11, 4.400E-14, 1.230E-14, 5.610E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.800E-10, 4.040E-10, 1.220E-11, 7.810E-01, 1.630E-10, 6.430E-10, 1.920E-10, 9.570E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 0.000E+00
 3.000E+00, 7.150E+02, 7.100E+02, 6.938E+02, 7.000E+02, 6.798E+02, 7.012E+02, 2.837E+02, 2.792E+02, 2.617E+02, 2.709E+02, 2.527E+02, 2.687E+02, 8.600E-03, 5.984E-03, 2.088E-03, 4.820E-03, 1.166E-03, 3.182E-03, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.504E-08, 4.222E-08, 3.200E-08, 3.887E-08, 2.767E-08, 3.318E-08, 3.200E-07, 3.200E-07, 3.200E-07, 3.100E-07, 3.200E-07, 3.200E-07, 1.349E-07, 1.349E-07, 1.349E-07, 1.349E-07, 1.349E-07, 1.349E-07, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 1.700E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 1.827E+13, 1.843E+13, 1.922E+13, 1.873E+13, 1.950E+13, 1.891E+13, 3.000E-10, 1.900E-10, 2.300E-11, 3.800E-10, 7.910E-11, 4.400E-14, 1.970E-14, 4.220E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.700E-10, 2.270E-10, 1.140E-11, 7.810E-01, 1.610E-10, 6.220E-10, 1.890E-10, 6.740E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 0.000E+00
 4.000E+00, 6.330E+02, 6.280E+02, 6.081E+02, 6.160E+02, 5.932E+02, 6.166E+02, 2.770E+02, 2.732E+02, 2.557E+02, 2.655E+02, 2.477E+02, 2.622E+02, 4.441E-03, 3.813E-03, 1.280E-03, 3.380E-03, 7.898E-04, 2.158E-03, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.561E-08, 4.821E-08, 3.567E-08, 4.478E-08, 3.253E-08, 3.387E-08, 3.200E-07, 3.200E-07, 3.200E-07, 3.079E-07, 3.200E-07, 3.200E-07, 1.312E-07, 1.312E-07, 1.312E-07, 1.312E-07, 1.312E-07, 1.312E-07, 1.700E-06, 1.697E-06, 1.697E-06, 1.697E-06, 1.697E-06, 1.700E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 1.656E+13, 1.666E+13, 1.724E+13, 1.682E+13, 1.736E+13, 1.704E+13, 3.000E-10, 1.460E-10, 2.300E-11, 2.880E-10, 8.870E-11, 4.400E-14, 3.180E-14, 3.190E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.620E-10, 1.400E-10, 9.800E-12, 7.810E-01, 1.600E-10, 6.070E-10, 1.840E-10, 5.070E-11, 1.980E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17
 5.000E+00, 5.590E+02, 5.540E+02, 5.313E+02, 5.410E+02, 5.158E+02, 5.405E+02, 2.703E+02, 2.672E+02, 2.497E+02, 2.601E+02, 2.409E+02, 2.557E+02, 3.346E-03, 2.225E-03, 8.241E-04, 2.218E-03, 4.309E-04, 1.397E-03, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.767E-08, 5.512E-08, 4.720E-08, 5.328E-08, 3.801E-08, 3.768E-08, 3.200E-07, 3.200E-07, 3.200E-07, 3.024E-07, 3.200E-07, 3.200E-07, 1.303E-07, 1.303E-07, 1.303E-07, 1.303E-07, 1.303E-07, 1.303E-07, 1.700E-06, 1.687E-06, 1.687E-06, 1.687E-06, 1.687E-06, 1.700E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 1.499E+13, 1.503E+13, 1.542E+13, 1.508E+13, 1.552E+13, 1.532E+13, 3.000E-10, 1.180E-10, 2.300E-11, 2.040E-10, 9.750E-11, 4.400E-14, 5.630E-14, 2.390E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.550E-10, 1.000E-10, 8.010E-12, 7.810E-01, 1.600E-10, 6.020E-10, 1.770E-10, 3.990E-11, 1.950E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 4.149E-17
 6.000E+00, 4.920E+02, 4.870E+02, 4.627E+02, 4.740E+02, 4.467E+02, 4.722E+02, 2.636E+02, 2.612E+02, 2.437E+02, 2.531E+02, 2.341E+02, 2.492E+02, 2.101E-03, 1.510E-03, 5.103E-04, 1.330E-03, 2.369E-04, 9.254E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.989E-08, 6.408E-08, 5.837E-08, 6.564E-08, 4.446E-08, 4.112E-08, 3.200E-07, 3.200E-07, 3.200E-07, 2.906E-07, 3.200E-07, 3.200E-07, 1.288E-07, 1.288E-07, 1.288E-07, 1.288E-07, 1.288E-07, 1.288E-07, 1.700E-06, 1.672E-06, 1.672E-06, 1.672E-06, 1.672E-06, 1.700E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 1.353E+13, 1.351E+13, 1.376E+13, 1.357E+13, 1.383E+13, 1.373E+13, 3.000E-10, 9.710E-11, 2.300E-11, 1.460E-10, 1.110E-10, 4.400E-14, 9.180E-14, 1.790E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.480E-10, 7.440E-11, 6.420E-12, 7.810E-01, 1.600E-10, 6.000E-10, 1.660E-10, 3.190E-11, 1.900E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 6.558E-17
 7.000E+00, 4.320E+02, 4.260E+02, 4.016E+02, 4.130E+02, 3.853E+02, 4.111E+02, 2.570E+02, 2.547E+02, 2.377E+02, 2.461E+02, 2.273E+02, 2.427E+02, 1.289E-03, 1.020E-03, 2.321E-04, 7.971E-04, 1.470E-04, 5.720E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 4.223E-08, 7.764E-08, 7.891E-08, 7.738E-08, 7.252E-08, 5.009E-08, 3.200E-07, 3.200E-07, 3.200E-07, 2.822E-07, 3.200E-07, 3.200E-07, 1.247E-07, 1.247E-07, 1.247E-07, 1.247E-07, 1.247E-07, 1.247E-07, 1.699E-06, 1.649E-06, 1.649E-06, 1.649E-06, 1.649E-06, 1.699E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 1.218E+13, 1.212E+13, 1.225E+13, 1.216E+13, 1.229E+13, 1.228E+13, 3.000E-10, 8.300E-11, 2.300E-11, 9.880E-11, 1.260E-10, 4.410E-14, 1.530E-13, 1.320E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.400E-10, 6.040E-11, 5.420E-12, 7.810E-01, 1.600E-10, 6.000E-10, 1.490E-10, 2.800E-11, 1.850E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 8.966E-17
 8.000E+00, 3.780E+02, 3.720E+02, 3.473E+02, 3.590E+02, 3.308E+02, 3.565E+02, 2.503E+02, 2.482E+02, 2.317E+02, 2.392E+02, 2.206E+02, 2.362E+02, 7.637E-04, 6.464E-04, 1.077E-04, 3.996E-04, 3.384E-05, 3.667E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 4.471E-08, 9.126E-08, 1.039E-07, 9.114E-08, 1.040E-07, 5.966E-08, 3.200E-07, 3.195E-07, 3.195E-07, 2.759E-07, 3.195E-07, 3.200E-07, 1.185E-07, 1.185E-07, 1.185E-07, 1.185E-07, 1.185E-07, 1.185E-07, 1.697E-06, 1.629E-06, 1.629E-06, 1.629E-06, 1.629E-06, 1.697E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 1.095E+13, 1.086E+13, 1.086E+13, 1.088E+13, 1.087E+13, 1.094E+13, 3.000E-10, 7.210E-11, 2.300E-11, 6.480E-11, 1.390E-10, 4.450E-14, 2.410E-13, 9.960E-11, 1.700E-12, 3.000E-12, 1.010E-14, 5.320E-10, 5.010E-11, 4.700E-12, 7.810E-01, 1.600E-10, 5.980E-10, 1.230E-10, 2.550E-11, 1.790E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.281E-16
 9.000E+00, 3.290E+02, 3.240E+02, 2.993E+02, 3.108E+02, 2.829E+02, 3.080E+02, 2.436E+02, 2.417E+02, 2.257E+02, 2.322E+02, 2.172E+02, 2.297E+02, 4.098E-04, 4.129E-04, 5.566E-05, 1.300E-04, 2.976E-05, 1.583E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 3.300E-04, 5.000E-08, 1.111E-07, 1.567E-07, 1.420E-07, 2.100E-07, 9.168E-08, 3.195E-07, 3.163E-07, 3.163E-07, 2.703E-07, 3.163E-07, 3.195E-07, 1.094E-07, 1.094E-07, 1.094E-07, 1.094E-07, 1.094E-07, 1.094E-07, 1.693E-06, 1.615E-06, 1.615E-06, 1.615E-06, 1.615E-06, 1.693E-06, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 2.090E-01, 9.789E+12, 9.716E+12, 9.612E+12, 9.701E+12, 9.440E+12, 9.719E+12, 3.000E-10, 6.560E-11, 2.320E-11, 3.770E-11, 1.530E-10, 4.560E-14, 4.040E-13, 7.480E-11, 1.700E-12, 3.000E-12, 1.050E-14, 5.250E-10, 4.220E-11, 4.410E-12, 7.810E-01, 1.600E-10, 5.940E-10, 9.090E-11, 2.400E-11, 1.720E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.853E-16
