H2O,CO2,O3,CO,N2O,CH4,O2,NO,SO2,NO2,NH3,HNO3,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN,CF4,C4H2,HC3N,H2,CS,SO3,XS
7.592E+023,7.627E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,6.035E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,1.671E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023,7.629E+023
5.886E+023,5.911E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,4.677E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,1.295E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023,5.913E+023
5.803E+023,5.827E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,4.611E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,1.277E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023,5.829E+023
5.721E+023,5.743E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,4.544E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,1.258E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023,5.745E+023
5.617E+023,5.637E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,4.46E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,1.235E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023,5.639E+023
5.555E+023,5.574E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,4.41E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,1.221E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023,5.576E+023
5.451E+023,5.468E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,4.327E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,1.198E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023,5.47E+023
5.368E+023,5.384E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,4.26E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,1.179E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023,5.386E+023
5.285E+023,5.3E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,4.193E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,1.161E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023,5.301E+023
5.202E+023,5.215E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,4.127E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,1.143E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023,5.217E+023
