ALT,P,T,H2O,CO2,O3,CO,N2O,CH4,O2,BRD,NO,SO2_HI,NO2_HI,NH3,HNO3_HI,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2_HI,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN_HI,CF4_HI,C4H2,HC3N,H2,CS,SO3,BRO,CLONO2_XS,HNO4,CHCL2F,CCL4,F11,F12,C2CL2F4,C2CL3F3,N2O5,HNO3_XS,CF4_XS,CHCLF2,CCLF3,C2CLF5,NO2_XS,PAN,ACET,CH3CN_XS,CHF2CF3,CFH2CF3,CF3CH3,CH3CHF2,CH2F2,CCl2FCH3,CH3CClF2,??????,CHCl2CF3,CHClFCF3,CHCl2C2F5,C2HCl2F3CF2,SO2_XS,ISOP,CHF3
0.338,1050,290.3,0.008287,0.00033,2.572E-008,1.516E-007,0.00000032,0.0000017,0.209,26240000000000,3E-010,3.084E-010,2.3E-011,5E-010,4.689E-011,4.4E-014,1E-014,1.081E-009,1.7E-012,3E-012,1E-014,6.032E-010,2.831E-009,6.76E-012,0.781,1.716E-010,7.097E-010,2.016E-010,3.415E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,4.923E-012,5.138E-013,nan,1.3E-010,1.4E-010,2.4E-010,1.2E-011,1.9E-011,4.2E-017,5.436E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,3.977E-014,4.564E-010,1E-010,2.006E-012,9.685E-012,2.006E-012,2.006E-012,3.871E-012,1.123E-011,1.08E-011,nan,nan,nan,nan,nan,3.084E-010,1.245E-010,2.145E-011
0.4958,1014,288.3,0.007759,0.00033,2.658E-008,0.00000015,0.00000032,0.0000017,0.209,25500000000000,3E-010,3.002E-010,2.3E-011,5E-010,4.992E-011,4.4E-014,1E-014,0.000000001,1.7E-012,3E-012,1E-014,6.001E-010,2.411E-009,7.676E-012,0.781,1.7E-010,7.002E-010,2E-010,3.011E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,4.742E-012,8.756E-013,nan,1.3E-010,1.4E-010,2.4E-010,1.2E-011,1.9E-011,1.289E-016,5.73E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,6.527E-014,4.765E-010,1E-010,2E-012,9.66E-012,2E-012,2E-012,3.854E-012,1.12E-011,1.077E-011,nan,nan,nan,nan,nan,3.002E-010,1.016E-010,2.144E-011
0.6179,986.1,286.7,0.00735,0.00033,2.724E-008,1.488E-007,0.00000032,0.0000017,0.209,24930000000000,3E-010,2.939E-010,2.3E-011,5E-010,5.226E-011,4.4E-014,1E-014,9.408E-010,1.7E-012,3E-012,1E-014,5.976E-010,2.086E-009,8.384E-012,0.781,1.688E-010,6.929E-010,1.988E-010,2.698E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,4.601E-012,1.155E-012,nan,1.3E-010,1.4E-010,2.4E-010,1.2E-011,1.9E-011,1.961E-016,5.958E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,8.499E-014,4.92E-010,1E-010,1.996E-012,9.64E-012,1.996E-012,1.996E-012,3.842E-012,1.118E-011,1.075E-011,nan,nan,nan,nan,nan,2.939E-010,8.39E-011,2.143E-011
0.7382,958.6,285.1,0.006947,0.00033,2.789E-008,1.476E-007,0.00000032,0.0000017,0.209,24360000000000,3E-010,2.876E-010,2.3E-011,5E-010,5.457E-011,4.4E-014,1E-014,8.804E-010,1.7E-012,3E-012,1E-014,5.952E-010,1.766E-009,9.082E-012,0.781,1.676E-010,6.857E-010,1.976E-010,2.39E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,4.463E-012,1.431E-012,nan,1.3E-010,1.4E-010,2.4E-010,1.2E-011,1.9E-011,2.624E-016,6.183E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,1.044E-013,5.073E-010,1E-010,1.992E-012,9.62E-012,1.992E-012,1.992E-012,3.83E-012,1.116E-011,1.073E-011,nan,nan,nan,nan,nan,2.876E-010,6.646E-011,2.142E-011
0.8567,931.5,283.6,0.006551,0.00033,2.853E-008,1.464E-007,0.00000032,0.0000017,0.209,23800000000000,3E-010,2.815E-010,2.3E-011,5E-010,5.685E-011,4.4E-014,1E-014,8.209E-010,1.7E-012,3E-012,1E-014,5.929E-010,1.451E-009,9.769E-012,0.781,1.664E-010,6.786E-010,1.964E-010,2.087E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,4.327E-012,1.703E-012,nan,1.3E-010,1.4E-010,2.4E-010,1.2E-011,1.9E-011,3.276E-016,6.404E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,1.236E-013,5.223E-010,1E-010,1.988E-012,9.601E-012,1.988E-012,1.988E-012,3.818E-012,1.114E-011,1.071E-011,nan,nan,nan,nan,nan,2.815E-010,4.927E-011,2.141E-011
0.9734,904.9,282,0.00616,0.00033,2.917E-008,1.453E-007,0.00000032,0.0000017,0.209,23250000000000,3E-010,2.754E-010,2.3E-011,5E-010,5.909E-011,4.4E-014,1E-014,7.623E-010,1.7E-012,3E-012,1E-014,5.905E-010,1.141E-009,1.045E-011,0.781,1.653E-010,6.716E-010,1.953E-010,1.788E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,4.193E-012,1.97E-012,nan,1.3E-010,1.4E-010,2.4E-010,1.2E-011,1.9E-011,3.919E-016,6.621E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,1.424E-013,5.371E-010,1E-010,1.984E-012,9.582E-012,1.984E-012,1.984E-012,3.806E-012,1.111E-011,1.068E-011,nan,nan,nan,nan,nan,2.754E-010,3.235E-011,2.14E-011
1.194,878.6,280.4,0.005791,0.00033,2.99E-008,0.000000144,0.00000032,0.0000017,0.209,22700000000000,3E-010,2.666E-010,2.3E-011,4.928E-010,6.149E-011,4.4E-014,1.045E-014,7.125E-010,1.7E-012,3E-012,1E-014,5.881E-010,9.405E-010,1.091E-011,0.781,1.646E-010,6.648E-010,1.944E-010,1.572E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,4.05E-012,2.254E-012,nan,1.3E-010,1.4E-010,2.4E-010,1.2E-011,1.9E-011,4.6E-016,6.852E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,2.855E-013,5.548E-010,1E-010,1.98E-012,9.564E-012,1.98E-012,1.98E-012,3.794E-012,1.109E-011,1.066E-011,nan,nan,nan,nan,nan,2.666E-010,2.428E-011,2.139E-011
1.443,852.8,278.8,0.005433,0.00033,3.067E-008,1.427E-007,0.00000032,0.0000017,0.209,22160000000000,3E-010,2.572E-010,2.3E-011,4.836E-010,6.39E-011,4.4E-014,1.102E-014,6.657E-010,1.7E-012,3E-012,1E-014,5.856E-010,7.748E-010,1.131E-011,0.781,1.641E-010,6.58E-010,1.937E-010,1.382E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,3.907E-012,2.539E-012,nan,1.3E-010,1.4E-010,2.4E-010,1.2E-011,1.9E-011,5.285E-016,7.084E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,4.631E-013,5.73E-010,1E-010,1.976E-012,9.545E-012,1.976E-012,1.976E-012,3.782E-012,1.107E-011,1.064E-011,nan,nan,nan,nan,nan,2.572E-010,1.887E-011,2.138E-011
1.688,827.4,277.2,0.00508,0.00033,3.142E-008,1.415E-007,0.00000032,0.0000017,0.209,21620000000000,3E-010,2.479E-010,2.3E-011,4.745E-010,6.627E-011,4.4E-014,1.158E-014,6.196E-010,1.7E-012,3E-012,1E-014,5.831E-010,6.117E-010,1.17E-011,0.781,1.636E-010,6.514E-010,1.929E-010,1.195E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,3.766E-012,2.82E-012,nan,1.299E-010,1.399E-010,2.399E-010,1.2E-011,1.899E-011,5.959E-016,7.312E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,6.379E-013,5.91E-010,1E-010,1.973E-012,9.527E-012,1.973E-012,1.973E-012,3.77E-012,1.105E-011,1.062E-011,nan,nan,nan,nan,nan,2.479E-010,1.355E-011,2.137E-011
1.929,802.4,275.7,0.004733,0.00033,3.215E-008,1.403E-007,0.00000032,0.0000017,0.209,21100000000000,3E-010,2.387E-010,2.3E-011,4.656E-010,6.861E-011,4.4E-014,1.214E-014,5.744E-010,1.7E-012,3E-012,1E-014,5.807E-010,4.513E-010,1.209E-011,0.781,1.631E-010,6.449E-010,1.922E-010,1.011E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,3.608E-018,3.628E-012,3.096E-012,nan,1.299E-010,1.399E-010,2.399E-010,1.2E-011,1.899E-011,6.622E-016,7.537E-011,7E-011,9.35E-011,5E-012,4E-012,2.3E-011,8.098E-013,6.087E-010,1E-010,1.969E-012,9.509E-012,1.969E-012,1.969E-012,3.758E-012,1.103E-011,1.06E-011,nan,nan,nan,nan,nan,2.387E-010,8.313E-012,2.136E-011
