ALT,P1,P2,P3,P4,P5,P6,T1,T2,T3,T4,T5,T6,H2O_1,H2O_2,H2O_3,H2O_4,H2O_5,H2O_6,CO2_1,CO2_2,CO2_3,CO2_4,CO2_5,CO2_6,O3_1,O3_2,O3_3,O3_4,O3_5,O3_6,N2O_1,N2O_2,N2O_3,N2O_4,N2O_5,N2O_6,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CH4_1,CH4_2,CH4_3,CH4_4,CH4_5,CH4_6,O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,BRD_1,BRD_2,BRD_3,BRD_4,BRD_5,BRD_6,NO,SO2,NO2,NH3,HNO3,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN,CF4,C4H2,HC3N,H2,CS,SO3,BRO
0,1013,1013,1018,1010,1013,1013,299.7,294.2,272.2,287.2,257.2,288.2,0.02593,0.01876,0.004316,0.01194,0.001405,0.007745,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,2.869E-008,3.017E-008,2.778E-008,2.412E-008,0.000000018,2.66E-008,0.00000032,0.00000032,0.00000032,0.00000031,0.00000032,0.00000032,0.00000015,0.00000015,0.00000015,0.00000015,0.00000015,0.00000015,0.0000017,0.0000017,0.0000017,0.0000017,0.0000017,0.0000017,0.209,0.209,0.209,0.209,0.209,0.209,24500000000000,24960000000000,27110000000000,25490000000000,28550000000000,25480000000000,3E-010,3E-010,2.3E-011,5E-010,5E-011,4.4E-014,1E-014,0.000000001,1.7E-012,3E-012,1E-014,6E-010,2.4E-009,7.7E-012,0.781,1.7E-010,7E-010,2E-010,3E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1.741E-017
1,904,902,897.3,896,887.8,898.8,293.7,289.7,268.7,281.7,259.1,281.7,0.01949,0.01378,0.003454,0.008701,0.001615,0.006071,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.15E-008,3.337E-008,0.000000028,2.94E-008,2.072E-008,2.931E-008,0.00000032,0.00000032,0.00000032,0.00000031,0.00000032,0.00000032,0.000000145,0.000000145,0.000000145,0.000000145,0.000000145,0.000000145,0.0000017,0.0000017,0.0000017,0.0000017,0.0000017,0.0000017,0.209,0.209,0.209,0.209,0.209,0.209,22310000000000,22570000000000,24200000000000,23050000000000,24840000000000,23130000000000,3E-010,2.74E-010,2.3E-011,5E-010,5.96E-011,4.4E-014,1E-014,7.49E-010,1.7E-012,3E-012,1E-014,5.9E-010,1.07E-009,1.06E-011,0.781,1.65E-010,6.7E-010,1.95E-010,1.72E-010,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1.741E-017
2,805,802,789.7,792.9,777.5,795,287.7,285.2,265.2,276.3,255.9,275.2,0.01534,0.00968,0.002788,0.00675,0.001427,0.004631,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.342E-008,3.694E-008,2.849E-008,3.379E-008,2.336E-008,3.237E-008,0.00000032,0.00000032,0.00000032,0.00000031,0.00000032,0.00000032,1.399E-007,1.399E-007,1.399E-007,1.399E-007,1.399E-007,1.399E-007,0.0000017,0.0000017,0.0000017,0.0000017,0.0000017,0.0000017,0.209,0.209,0.209,0.209,0.209,0.209,20280000000000,20380000000000,21580000000000,20800000000000,22020000000000,20940000000000,3E-010,2.36E-010,2.3E-011,4.63E-010,6.93E-011,4.4E-014,1.23E-014,5.61E-010,1.7E-012,3E-012,1E-014,5.8E-010,4.04E-010,1.22E-011,0.781,1.63E-010,6.43E-010,1.92E-010,9.57E-011,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1.741E-017
3,715,710,693.8,700,679.8,701.2,283.7,279.2,261.7,270.9,252.7,268.7,0.0086,0.005984,0.002088,0.00482,0.001166,0.003182,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.000000035,4.222E-008,0.000000032,3.887E-008,2.767E-008,3.318E-008,0.00000032,0.00000032,0.00000032,0.00000031,0.00000032,0.00000032,1.349E-007,1.349E-007,1.349E-007,1.349E-007,1.349E-007,1.349E-007,0.0000017,0.0000017,0.0000017,0.0000017,0.0000017,0.0000017,0.209,0.209,0.209,0.209,0.209,0.209,18270000000000,18430000000000,19220000000000,18730000000000,19500000000000,18910000000000,3E-010,1.9E-010,2.3E-011,3.8E-010,7.91E-011,4.4E-014,1.97E-014,4.22E-010,1.7E-012,3E-012,1E-014,5.7E-010,2.27E-010,1.14E-011,0.781,1.61E-010,6.22E-010,1.89E-010,6.74E-011,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1.741E-017
4,633,628,608.1,616,593.2,616.6,277,273.2,255.7,265.5,247.7,262.2,0.004441,0.003813,0.00128,0.00338,0.0007898,0.002158,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.561E-008,4.821E-008,3.567E-008,4.478E-008,3.253E-008,3.387E-008,0.00000032,0.00000032,0.00000032,3.079E-007,0.00000032,0.00000032,1.312E-007,1.312E-007,1.312E-007,1.312E-007,1.312E-007,1.312E-007,0.0000017,0.000001697,0.000001697,0.000001697,0.000001697,0.0000017,0.209,0.209,0.209,0.209,0.209,0.209,16560000000000,16660000000000,17240000000000,16820000000000,17360000000000,17040000000000,3E-010,1.46E-010,2.3E-011,2.88E-010,8.87E-011,4.4E-014,3.18E-014,3.19E-010,1.7E-012,3E-012,1E-014,5.62E-010,1.4E-010,9.8E-012,0.781,1.6E-010,6.07E-010,1.84E-010,5.07E-011,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1.741E-017
5,559,554,531.3,541,515.8,540.5,270.3,267.2,249.7,260.1,240.9,255.7,0.003346,0.002225,0.0008241,0.002218,0.0004309,0.001397,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.767E-008,5.512E-008,4.72E-008,5.328E-008,0.000000038,3.768E-008,0.00000032,0.00000032,0.00000032,3.024E-007,0.00000032,0.00000032,1.303E-007,1.303E-007,1.303E-007,1.303E-007,1.303E-007,1.303E-007,0.0000017,0.000001687,0.000001687,0.000001687,0.000001687,0.0000017,0.209,0.209,0.209,0.209,0.209,0.209,14990000000000,15030000000000,15420000000000,15080000000000,15520000000000,15320000000000,3E-010,1.18E-010,2.3E-011,2.04E-010,9.75E-011,4.4E-014,5.63E-014,2.39E-010,1.7E-012,3E-012,1E-014,5.55E-010,1E-010,8.01E-012,0.781,1.6E-010,6.02E-010,1.77E-010,3.99E-011,0.000000002,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,4.149E-017
6,492,487,462.7,474,446.7,472.2,263.6,261.2,243.7,253.1,234.1,249.2,0.002101,0.00151,0.0005103,0.00133,0.0002369,0.0009254,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.989E-008,6.408E-008,5.837E-008,6.564E-008,4.446E-008,4.112E-008,0.00000032,0.00000032,0.00000032,2.906E-007,0.00000032,0.00000032,1.288E-007,1.288E-007,1.288E-007,1.288E-007,1.288E-007,1.288E-007,0.0000017,0.000001672,0.000001672,0.000001672,0.000001672,0.0000017,0.209,0.209,0.209,0.209,0.209,0.209,13530000000000,13510000000000,13760000000000,13570000000000,13830000000000,13730000000000,3E-010,9.71E-011,2.3E-011,1.46E-010,1.11E-010,4.4E-014,9.18E-014,1.79E-010,1.7E-012,3E-012,1E-014,5.48E-010,7.44E-011,6.42E-012,0.781,1.6E-010,6E-010,1.66E-010,3.19E-011,1.9E-009,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,6.558E-017
7,432,426,401.6,413,385.3,411.1,257,254.7,237.7,246.1,227.3,242.7,0.001289,0.00102,0.0002321,0.0007971,0.000147,0.000572,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,4.223E-008,7.764E-008,7.891E-008,7.738E-008,7.252E-008,5.009E-008,0.00000032,0.00000032,0.00000032,2.822E-007,0.00000032,0.00000032,1.247E-007,1.247E-007,1.247E-007,1.247E-007,1.247E-007,1.247E-007,0.000001699,0.000001649,0.000001649,0.000001649,0.000001649,0.000001699,0.209,0.209,0.209,0.209,0.209,0.209,12180000000000,12120000000000,12250000000000,12160000000000,12290000000000,12280000000000,3E-010,8.3E-011,2.3E-011,9.88E-011,1.26E-010,4.41E-014,1.53E-013,1.32E-010,1.7E-012,3E-012,1E-014,5.4E-010,6.04E-011,5.42E-012,0.781,1.6E-010,6E-010,1.49E-010,2.8E-011,1.85E-009,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,8.966E-017
8,378,372,347.3,359,330.8,356.5,250.3,248.2,231.7,239.2,220.6,236.2,0.0007637,0.0006464,0.0001077,0.0003996,0.00003384,0.0003667,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,4.471E-008,9.126E-008,1.039E-007,9.114E-008,0.000000104,5.966E-008,0.00000032,3.195E-007,3.195E-007,2.759E-007,3.195E-007,0.00000032,1.185E-007,1.185E-007,1.185E-007,1.185E-007,1.185E-007,1.185E-007,0.000001697,0.000001629,0.000001629,0.000001629,0.000001629,0.000001697,0.209,0.209,0.209,0.209,0.209,0.209,10950000000000,10860000000000,10860000000000,10880000000000,10870000000000,10940000000000,3E-010,7.21E-011,2.3E-011,6.48E-011,1.39E-010,4.45E-014,2.41E-013,9.96E-011,1.7E-012,3E-012,1.01E-014,5.32E-010,5.01E-011,4.7E-012,0.781,1.6E-010,5.98E-010,1.23E-010,2.55E-011,1.79E-009,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1.281E-016
9,329,324,299.3,310.8,282.9,308,243.6,241.7,225.7,232.2,217.2,229.7,0.0004098,0.0004129,0.00005566,0.00013,0.00002976,0.0001583,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00000005,1.111E-007,1.567E-007,0.000000142,0.00000021,9.168E-008,3.195E-007,3.163E-007,3.163E-007,2.703E-007,3.163E-007,3.195E-007,1.094E-007,1.094E-007,1.094E-007,1.094E-007,1.094E-007,1.094E-007,0.000001693,0.000001615,0.000001615,0.000001615,0.000001615,0.000001693,0.209,0.209,0.209,0.209,0.209,0.209,9789000000000,9716000000000,9612000000000,9701000000000,9440000000000,9719000000000,3E-010,6.56E-011,2.32E-011,3.77E-011,1.53E-010,4.56E-014,4.04E-013,7.48E-011,1.7E-012,3E-012,1.05E-014,5.25E-010,4.22E-011,4.41E-012,0.781,1.6E-010,5.94E-010,9.09E-011,2.4E-011,1.72E-009,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1E-020,1.853E-016
